program;partysize;latencies(ms);bandwidths(Mbs);input_size;packetdrops(%);runtime_internal(s);Bytes Send;runtime_external(s);RAMused(MB);System Time (s)
Benchmarks/Reveal;3;0;25000;1000000;0;0:00:00.310;2002431;0.96;155696;4.00
Benchmarks/Reveal;3;0;25000;1000000;1;0:00:00.300;2002431;0.81;139088;4.07
Benchmarks/Reveal;3;0;25000;1000000;2;0:00:00.305;2002431;0.81;145296;4.09
Benchmarks/Reveal;3;0;25000;1000000;5;0:00:01.327;2002431;1.77;155196;4.06
Benchmarks/Reveal;3;0;25000;1000000;10;0:00:00.695;2002431;0.95;141264;3.97
Benchmarks/Reveal;3;0;10000;1000000;0;0:00:00.313;2002431;1.10;138620;4.19
Benchmarks/Reveal;3;0;10000;1000000;1;0:00:00.309;2002431;1.83;142728;4.00
Benchmarks/Reveal;3;0;10000;1000000;2;0:00:01.227;2002431;1.90;140776;4.14
Benchmarks/Reveal;3;0;10000;1000000;5;0:00:00.837;2002431;2.02;156976;4.14
Benchmarks/Reveal;3;0;10000;1000000;10;0:00:00.312;2002431;2.35;145592;3.94
Benchmarks/Reveal;3;0;1000;1000000;0;0:00:00.322;2002431;0.73;140460;3.90
Benchmarks/Reveal;3;0;1000;1000000;1;0:00:00.331;2002431;0.90;153312;4.13
Benchmarks/Reveal;3;0;1000;1000000;2;0:00:00.312;2002431;0.57;150112;4.13
Benchmarks/Reveal;3;0;1000;1000000;5;0:00:00.738;2002431;2.02;163304;4.03
Benchmarks/Reveal;3;0;1000;1000000;10;0:00:00.747;2002431;3.94;138572;4.10
Benchmarks/Reveal;3;0;100;1000000;0;0:00:00.470;2002431;0.75;157416;4.09
Benchmarks/Reveal;3;0;100;1000000;1;0:00:00.474;2002431;0.92;161864;4.13
Benchmarks/Reveal;3;0;100;1000000;2;0:00:00.454;2002431;0.84;153616;4.01
Benchmarks/Reveal;3;0;100;1000000;5;0:00:00.470;2002431;1.70;152692;4.13
Benchmarks/Reveal;3;0;100;1000000;10;0:00:01.403;2002431;2.99;147008;4.04
Benchmarks/Reveal;3;25;25000;1000000;0;0:00:00.659;2002431;0.95;155508;3.95
Benchmarks/Reveal;3;25;25000;1000000;1;0:00:00.646;2002431;1.91;160960;4.19
Benchmarks/Reveal;3;25;25000;1000000;2;0:00:01.316;2002431;1.74;151676;4.13
Benchmarks/Reveal;3;25;25000;1000000;5;0:00:02.132;2002431;2.60;143468;4.12
Benchmarks/Reveal;3;25;25000;1000000;10;0:00:04.358;2002431;5.33;157472;4.22
Benchmarks/Reveal;3;25;10000;1000000;0;0:00:00.657;2002431;0.94;147424;4.10
Benchmarks/Reveal;3;25;10000;1000000;1;0:00:00.660;2002431;1.53;142976;3.95
Benchmarks/Reveal;3;25;10000;1000000;2;0:00:00.645;2002431;1.94;149640;4.03
Benchmarks/Reveal;3;25;10000;1000000;5;0:00:01.209;2002431;3.49;159572;4.19
Benchmarks/Reveal;3;25;10000;1000000;10;0:00:00.794;2002431;3.36;156176;4.08
Benchmarks/Reveal;3;25;1000;1000000;0;0:00:00.773;2002431;1.06;140748;4.13
Benchmarks/Reveal;3;25;1000;1000000;1;0:00:00.602;2002431;0.91;162040;4.06
Benchmarks/Reveal;3;25;1000;1000000;2;0:00:01.155;2002431;1.99;142848;4.16
Benchmarks/Reveal;3;25;1000;1000000;5;0:00:02.510;2002431;2.79;159592;4.13
Benchmarks/Reveal;3;25;1000;1000000;10;0:00:04.071;2002431;5.35;174452;4.19
Benchmarks/Reveal;3;25;100;1000000;0;0:00:00.679;2002431;1.03;149456;4.18
Benchmarks/Reveal;3;25;100;1000000;1;0:00:01.320;2002431;1.62;153428;4.20
Benchmarks/Reveal;3;25;100;1000000;2;0:00:00.729;2002431;1.56;148164;4.16
Benchmarks/Reveal;3;25;100;1000000;5;0:00:01.302;2002431;2.56;147340;4.09
Benchmarks/Reveal;3;25;100;1000000;10;0:00:01.924;2002431;23.48;140536;4.02
Benchmarks/Reveal;3;50;25000;1000000;0;0:00:01.104;2002431;1.47;145480;4.08
Benchmarks/Reveal;3;50;25000;1000000;1;0:00:00.994;2002431;3.00;149540;4.09
Benchmarks/Reveal;3;50;25000;1000000;2;0:00:01.316;2002431;2.61;163908;4.20
Benchmarks/Reveal;3;50;25000;1000000;5;0:00:03.386;2002431;4.48;151312;4.16
Benchmarks/Reveal;3;50;25000;1000000;10;0:00:08.833;2002431;11.21;148080;4.26
Benchmarks/Reveal;3;50;10000;1000000;0;0:00:01.014;2002431;1.46;149376;4.06
Benchmarks/Reveal;3;50;10000;1000000;1;0:00:02.306;2002431;2.69;147800;4.19
Benchmarks/Reveal;3;50;10000;1000000;2;0:00:02.138;2002431;3.25;145216;4.11
Benchmarks/Reveal;3;50;10000;1000000;5;0:00:02.896;2002431;3.35;146160;4.12
Benchmarks/Reveal;3;50;10000;1000000;10;0:00:05.850;2002431;9.29;159092;4.21
Benchmarks/Reveal;3;50;1000;1000000;0;0:00:00.922;2002431;1.34;152872;4.06
Benchmarks/Reveal;3;50;1000;1000000;1;0:00:01.122;2002431;1.51;152824;4.20
Benchmarks/Reveal;3;50;1000;1000000;2;0:00:00.916;2002431;2.85;172612;4.03
Benchmarks/Reveal;3;50;1000;1000000;5;0:00:05.809;2002431;6.19;151268;4.28
Benchmarks/Reveal;3;50;1000;1000000;10;0:00:04.209;2002431;7.71;169840;4.17
Benchmarks/Reveal;3;50;100;1000000;0;0:00:01.007;2002431;1.40;157136;4.19
Benchmarks/Reveal;3;50;100;1000000;1;0:00:01.588;2002431;2.76;150916;4.13
Benchmarks/Reveal;3;50;100;1000000;2;0:00:02.011;2002431;2.39;165680;4.04
Benchmarks/Reveal;3;50;100;1000000;5;0:00:03.631;2002431;5.10;169004;4.29
Benchmarks/Reveal;3;50;100;1000000;10;0:00:07.644;2002431;9.78;167164;4.25
Benchmarks/Reveal;3;75;25000;1000000;0;0:00:01.404;2002431;1.93;143480;4.04
Benchmarks/Reveal;3;75;25000;1000000;1;0:00:01.343;2002431;1.93;157544;4.19
Benchmarks/Reveal;3;75;25000;1000000;2;0:00:01.365;2002431;2.59;169872;4.03
Benchmarks/Reveal;3;75;25000;1000000;5;0:00:03.922;2002431;4.86;173832;4.29
Benchmarks/Reveal;3;75;25000;1000000;10;0:00:02.877;2002431;14.79;155420;4.17
Benchmarks/Reveal;3;75;10000;1000000;0;0:00:01.388;2002431;1.87;145240;4.08
Benchmarks/Reveal;3;75;10000;1000000;1;0:00:01.645;2002431;3.16;160320;4.18
Benchmarks/Reveal;3;75;10000;1000000;2;0:00:01.543;2002431;2.70;149260;4.17
Benchmarks/Reveal;3;75;10000;1000000;5;0:00:09.472;2002431;9.92;151848;4.20
Benchmarks/Reveal;3;75;10000;1000000;10;0:00:04.217;2002431;9.98;151536;4.36
Benchmarks/Reveal;3;75;1000;1000000;0;0:00:01.226;2002431;1.86;155552;4.09
Benchmarks/Reveal;3;75;1000;1000000;1;0:00:01.365;2002431;1.98;160964;4.02
Benchmarks/Reveal;3;75;1000;1000000;2;0:00:01.360;2002431;3.90;143404;4.08
Benchmarks/Reveal;3;75;1000;1000000;5;0:00:05.805;2002431;8.49;146100;4.24
Benchmarks/Reveal;3;75;1000;1000000;10;0:00:04.528;2002431;7.48;162040;4.17
Benchmarks/Reveal;3;75;100;1000000;0;0:00:01.291;2002431;1.86;157372;3.99
Benchmarks/Reveal;3;75;100;1000000;1;0:00:02.803;2002431;3.27;146928;3.97
Benchmarks/Reveal;3;75;100;1000000;2;0:00:01.392;2002431;5.31;146508;4.02
Benchmarks/Reveal;3;75;100;1000000;5;0:00:05.231;2002431;7.12;147804;4.23
Benchmarks/Reveal;3;75;100;1000000;10;0:00:10.132;2002431;12.59;147512;4.35
